feature,importance
ct_win_lag1,16614.644663619994
money_end_diff_lag1,3479.3540427684784
equipment_value_diff_lag1,2874.707733297348
score_total,2742.3241985321047
t_win_lag1,2597.0891630172728
ct_win_roll3,2510.5886773109437
damage_diff_lag1,2029.4973428726196
round_index,1566.25814371109
kills_diff_lag1,1474.5238051891326
survivors_diff_lag1,1469.1529953956604
cash_spent_diff_lag1,1430.6938606739045
equipment_value_diff_lag2,1417.9838218212128
pressure_index,1274.665286874771
damage_diff_lag2,1196.0165694236755
round_duration_lag2,1137.897649526596
equipment_value_diff_roll3,1055.7098646640777
money_end_diff_lag2,1051.751288986206
round_duration_roll3,1035.0788128852844
ct_score,1013.6714344978333
t_score,979.9964577198028
cash_spent_diff_lag3,973.0328276157379
cash_spent_diff_lag2,969.3416741847992
round_duration_lag1,958.2971265792846
damage_diff_lag5,952.1337522029877
kills_diff_lag2,951.8900383472443
round_duration_lag3,942.6012181282043
equipment_value_diff_lag3,936.6826432704926
money_start_diff_lag2,924.8283127784729
cash_spent_diff_roll5,915.9046872138977
cash_spent_diff_roll3,914.818971824646
damage_diff_lag3,913.6599187374115
round_duration_roll5,903.0425916194915
money_end_diff_roll3,899.4781116008759
damage_diff_roll3,880.2142109870911
equipment_value_diff_roll5,853.6887554645539
money_start_diff_roll5,823.343012046814
ct_win_lag2,822.4472662448883
money_start_diff_lag5,796.4352531909942
round_in_half,787.0137017250061
money_end_diff_roll5,782.3894954681397
money_start_diff_lag1,778.8504910469055
round_duration_lag5,770.0591271400451
money_start_diff_roll3,765.7861878871918
money_start_diff_lag3,758.4090458869935
damage_diff_roll5,757.7765357017518
round_progress,741.6749543190002
cash_spent_diff_lag5,733.38892993927
money_end_diff_lag5,714.1750675678253
headshots_diff_roll5,701.2079667091369
money_end_diff_lag3,693.1565425395966
kills_diff_roll3,682.8842257022858
survivors_diff_lag2,675.2154581069947
ct_score_pct,655.4488710403442
assists_diff_roll5,629.5006081104278
equipment_value_diff_lag5,625.3056094646454
ct_win_roll5,586.0920088768005
score_diff,507.3498666763306
kills_diff_roll5,476.14153757095335
t_win_roll3,456.2356372833252
survivors_diff_roll3,443.74923305511476
survivors_diff_roll5,439.42058243751524
headshots_diff_lag2,373.5967423439026
headshots_diff_lag1,322.0711753845215
headshots_diff_roll3,309.13829197883604
bomb_planted_roll5,286.1257342338562
assists_diff_roll3,262.9784893512726
t_win_lag3,261.46344385147097
headshots_diff_lag3,256.931422662735
headshots_diff_lag5,248.51540021896363
ct_win_lag5,245.47618007659912
ct_win_lag3,243.6474012374878
kills_diff_lag3,219.4516535758972
assists_diff_lag3,216.39764227867127
bomb_planted_roll3,214.7663363456726
assists_diff_lag5,212.78834266662597
t_win_lag2,210.30835361480712
assists_diff_lag2,206.94003958702086
assists_diff_lag1,205.93531165122985
survivors_diff_lag3,168.5681423187256
kills_diff_lag5,168.27549848556518
t_win_roll5,156.64912815093993
t_win_lag5,141.3154261112213
survivors_diff_lag5,133.86651601791382
reason_prev_bomb_exploded,125.30016374588013
map_de_anubis,118.28504629135132
map_de_inferno,109.99932603836059
map_de_dust2,109.72672824859619
map_de_nuke,107.54367723464966
reason_prev_t_killed,93.98624067306518
reason_prev_ct_killed,87.2021782875061
bomb_planted_lag2,75.882213306427
map_de_mirage,69.14457788467408
is_overtime,64.50907964706421
map_de_train,63.99607167243958
bomb_planted_lag5,58.90832381248474
bomb_planted_lag3,49.528774213790896
map_de_ancient,38.477323627471925
reason_prev_bomb_defused,31.68398599624634
bomb_planted_lag1,28.438301849365235
is_second_half,26.0656099319458
reason_prev_time_ran_out,18.83426389694214
map_de_overpass,17.52987995147705
is_first_half,10.687803840637207
momentum_index,0.0
reason_prev_unknown,0.0
ct_win_streak_abs,0.0
ct_win_streak,0.0
t_win_streak,0.0
